Date,caffeine_mgs
1/10/19,263.5
1/11/19,330.0
1/12/19,395.0
1/13/19,371.25
1/14/19,247.5
1/15/19,577.5
1/16/19,453.75
1/17/19,247.5
1/18/19,247.5
1/19/19,480.0
1/20/19,330.0
1/21/19,215.0
1/22/19,428.5
1/23/19,311.25
1/24/19,146.25
1/25/19,446.5
1/26/19,60.0
1/27/19,166.0
1/28/19,307.5
1/29/19,327.5
1/30/19,495.0
1/7/19,307.5
1/8/19,346.0
1/9/19,307.5
