dates,efficiency,asleep_min,awake_min,restless_min,timeInBed,restless_rolling7,awake_rolling7,dayofweek,caffeine_mg,drink_counter
2018-12-16,97.0,394.0,0.0,12.0,406.0,16.857142857142858,2.2857142857142856,6,,
2018-12-17,96.0,417.0,2.0,17.0,437.0,18.142857142857142,2.5714285714285716,0,,
2018-12-18,96.0,417.0,2.0,17.0,437.0,17.428571428571427,2.5714285714285716,1,,
2018-12-19,95.0,488.0,2.0,28.0,518.0,19.285714285714285,2.857142857142857,2,,
2018-12-20,96.0,303.0,0.0,13.0,316.0,17.857142857142858,2.142857142857143,3,,
2018-12-21,96.0,417.0,2.0,17.0,437.0,20.285714285714285,2.142857142857143,4,,
2018-12-22,96.0,417.0,2.0,17.0,437.0,17.285714285714285,1.4285714285714286,5,,
2018-12-23,92.0,488.0,1.0,44.0,533.0,21.857142857142858,1.5714285714285714,6,,
2018-12-24,95.0,461.0,6.0,20.0,487.0,22.285714285714285,2.142857142857143,0,,
2018-12-25,96.0,417.0,2.0,17.0,437.0,22.285714285714285,2.142857142857143,1,,
2018-12-26,96.0,417.0,2.0,17.0,437.0,20.714285714285715,2.142857142857143,2,,
2018-12-27,96.0,417.0,2.0,17.0,437.0,21.285714285714285,2.4285714285714284,3,,
2018-12-28,96.0,417.0,2.0,17.0,437.0,21.285714285714285,2.4285714285714284,4,,
2018-12-29,96.0,417.0,2.0,17.0,437.0,21.285714285714285,2.4285714285714284,5,,
2018-12-30,96.0,379.0,0.0,16.0,395.0,17.285714285714285,2.2857142857142856,6,,
2018-12-31,94.0,421.0,4.0,31.0,456.0,18.857142857142858,2.0,0,,
2019-01-01,94.0,419.0,0.0,27.0,446.0,20.285714285714285,1.7142857142857142,1,,
2019-01-02,95.0,437.0,1.0,24.0,462.0,21.285714285714285,1.5714285714285714,2,,
2019-01-03,96.0,417.0,2.0,17.0,437.0,21.285714285714285,1.5714285714285714,3,,
2019-01-04,97.0,430.0,0.0,14.0,444.0,20.857142857142858,1.2857142857142858,4,,
2019-01-05,96.0,64.0,2.0,1.0,67.0,18.571428571428573,1.2857142857142858,5,,
